invoice_id,customer_name,customer_email,invoice_date,due_date,status,currency,subtotal,tax,total,paid_amount,country
INV-1001,Acme Corp,billing@acme.com,2026-01-01,2026-01-31,Paid,USD,1000.00,80.00,1080.00,1080.00,USA
INV-1002,Global Industries,finance@global.net,2026-01-05,2026-02-05,Paid,EUR,2500.00,500.00,3000.00,3000.00,Germany
INV-1003,Stark Enterprises,tony@stark.com,2026-01-10,2026-02-10,Overdue,USD,5000.00,0.00,5000.00,0.00,USA
INV-1004,Wayne Tech,bruce@wayne.com,2026-01-15,2026-02-15,Paid,GBP,1200.00,240.00,1440.00,1440.00,UK
INV-1005,Oscorp,norman@oscorp.com,2026-01-20,2026-02-20,Sent,USD,800.00,64.00,864.00,0.00,USA
INV-1006,Cyberdyne Systems,sarah@cyberdyne.io,2026-01-22,2026-02-22,Sent,USD,15000.00,0.00,15000.00,0.00,USA
INV-1007,Umbrella Corp,info@umbrella.com,2026-01-25,2026-02-25,Draft,EUR,450.00,90.00,540.00,,France
INV-1008,Initech,peter@initech.com,2026-01-28,2026-02-28,Paid,USD,200.00,16.00,216.00,216.00,USA
INV-1009,Hooli,gavin@hooli.com,2026-01-30,2026-03-02,Sent,USD,3200.00,256.00,3456.00,0.00,USA
INV-1010,Pied Piper,richard@piedpiper.com,2026-02-01,2026-03-03,Paid,USD,150.00,12.00,162.00,162.00,USA
INV-1011,Massive Dynamic,walter@massivedynamic.com,2026-02-02,2026-03-04,Sent,GBP,2000.00,400.00,2400.00,0.00,UK
INV-1012,Soylent Corp,food@soylent.com,2026-02-03,2026-03-05,Cancelled,EUR,600.00,120.00,720.00,0.00,France
INV-1013,Weyland-Yutani,burke@weyland.com,2026-02-04,2026-03-06,Sent,USD,10000.00,0.00,10000.00,0.00,USA
INV-1014,Tyrell Corp,eldon@tyrell.com,2026-02-05,2026-03-07,Paid,USD,850.00,68.00,918.00,918.00,USA
INV-1015,Vandelay Industries,george@vandelay.com,2026-02-06,2026-03-08,Draft,USD,300.00,24.00,324.00,,USA
INV-1016,Dunder Mifflin,michael@dundermifflin.com,2026-02-07,2026-03-09,Sent,USD,120.00,9.60,129.60,0.00,USA
